Unknown all shoots,Unknown forest coverage,Unknown supply percentage,Quercus petraea all shoots,Quercus petraea forest coverage,Quercus petraea supply percentage,Quercus robur all shoots,Quercus robur forest coverage,Quercus robur supply percentage,Quercus cerris all shoots,Quercus cerris forest coverage,Quercus cerris supply percentage,Fraxinus excelsior all shoots,Fraxinus excelsior forest coverage,Fraxinus excelsior supply percentage,Fraxinus ornus all shoots,Fraxinus ornus forest coverage,Fraxinus ornus supply percentage,Carpinus betulus all shoots,Carpinus betulus forest coverage,Carpinus betulus supply percentage,Fagus sylvatica all shoots,Fagus sylvatica forest coverage,Fagus sylvatica supply percentage,Acer pseudoplatanus all shoots,Acer pseudoplatanus forest coverage,Acer pseudoplatanus supply percentage,Acer platanoides all shoots,Acer platanoides forest coverage,Acer platanoides supply percentage,Acer campestre all shoots,Acer campestre forest coverage,Acer campestre supply percentage,Pinus sylvestris all shoots,Pinus sylvestris forest coverage,Pinus sylvestris supply percentage,Robinia pseudoacacia all shoots,Robinia pseudoacacia forest coverage,Robinia pseudoacacia supply percentage,Ligustrum vulgare  all shoots,Ligustrum vulgare  forest coverage,Ligustrum vulgare  supply percentage,Crataegus monogyna all shoots,Crataegus monogyna forest coverage,Crataegus monogyna supply percentage,Cornus mas all shoots,Cornus mas forest coverage,Cornus mas supply percentage,Cornus sanguinea all shoots,Cornus sanguinea forest coverage,Cornus sanguinea supply percentage,Prunus spinosa all shoots,Prunus spinosa forest coverage,Prunus spinosa supply percentage,Rubus fruticosus  all shoots,Rubus fruticosus  forest coverage,Rubus fruticosus  supply percentage,Rosa canina  all shoots,Rosa canina  forest coverage,Rosa canina  supply percentage,Sambucus nigra all shoots,Sambucus nigra forest coverage,Sambucus nigra supply percentage,Acer tataricum all shoots,Acer tataricum forest coverage,Acer tataricum supply percentage,Prunus avium  all shoots,Prunus avium  forest coverage,Prunus avium  supply percentage,Corylus avellana all shoots,Corylus avellana forest coverage,Corylus avellana supply percentage,Ulmus minor  all shoots,Ulmus minor  forest coverage,Ulmus minor  supply percentage,Sorbus aucuparia all shoots,Sorbus aucuparia forest coverage,Sorbus aucuparia supply percentage,Pyrus pyraster  all shoots,Pyrus pyraster  forest coverage,Pyrus pyraster  supply percentage,Euonymus verrucosus all shoots,Euonymus verrucosus forest coverage,Euonymus verrucosus supply percentage,Quercus pubescens all shoots,Quercus pubescens forest coverage,Quercus pubescens supply percentage
0,0.023333333333333334,0.0414572864321608,1,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,0,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,0,0.03,0.07663316582914573,0,0.02666666666666667,0.1620603015075377,0,0.0,0.0,0,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.023333333333333334,0.0414572864321608,0,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,0,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,0,0.03,0.07663316582914573,0,0.02666666666666667,0.1620603015075377,0,0.0,0.0,0,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.023333333333333334,0.0414572864321608,0,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,0,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,0,0.03,0.07663316582914573,0,0.02666666666666667,0.1620603015075377,0,0.0,0.0,0,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.023333333333333334,0.0414572864321608,0,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,0,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,0,0.03,0.07663316582914573,0,0.02666666666666667,0.1620603015075377,0,0.0,0.0,0,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.023333333333333334,0.0414572864321608,0,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,0,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,0,0.03,0.07663316582914573,0,0.02666666666666667,0.1620603015075377,0,0.0,0.0,0,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.023333333333333334,0.0414572864321608,0,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,0,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,0,0.03,0.07663316582914573,0,0.02666666666666667,0.1620603015075377,0,0.0,0.0,0,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.023333333333333334,0.0414572864321608,0,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,0,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,0,0.03,0.07663316582914573,0,0.02666666666666667,0.1620603015075377,0,0.0,0.0,0,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.023333333333333334,0.0414572864321608,0,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,0,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,0,0.03,0.07663316582914573,10,0.02666666666666667,0.1620603015075377,0,0.0,0.0,0,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.023333333333333334,0.0414572864321608,0,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,0,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,0,0.03,0.07663316582914573,0,0.02666666666666667,0.1620603015075377,0,0.0,0.0,8,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.023333333333333334,0.0414572864321608,0,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,0,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,0,0.03,0.07663316582914573,0,0.02666666666666667,0.1620603015075377,0,0.0,0.0,0,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.023333333333333334,0.0414572864321608,0,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,0,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,0,0.03,0.07663316582914573,0,0.02666666666666667,0.1620603015075377,0,0.0,0.0,0,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.023333333333333334,0.0414572864321608,0,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,0,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,6,0.03,0.07663316582914573,0,0.02666666666666667,0.1620603015075377,0,0.0,0.0,0,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.023333333333333334,0.0414572864321608,0,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,0,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,0,0.03,0.07663316582914573,0,0.02666666666666667,0.1620603015075377,0,0.0,0.0,0,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.023333333333333334,0.0414572864321608,0,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,0,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,0,0.03,0.07663316582914573,0,0.02666666666666667,0.1620603015075377,0,0.0,0.0,0,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.023333333333333334,0.0414572864321608,0,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,13,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,0,0.03,0.07663316582914573,0,0.02666666666666667,0.1620603015075377,0,0.0,0.0,0,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.023333333333333334,0.0414572864321608,0,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,0,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,0,0.03,0.07663316582914573,0,0.02666666666666667,0.1620603015075377,0,0.0,0.0,0,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.023333333333333334,0.0414572864321608,0,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,0,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,0,0.03,0.07663316582914573,0,0.02666666666666667,0.1620603015075377,0,0.0,0.0,0,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.023333333333333334,0.0414572864321608,0,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,0,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,0,0.03,0.07663316582914573,0,0.02666666666666667,0.1620603015075377,0,0.0,0.0,0,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.023333333333333334,0.0414572864321608,0,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,0,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,0,0.03,0.07663316582914573,0,0.02666666666666667,0.1620603015075377,0,0.0,0.0,0,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.023333333333333334,0.0414572864321608,0,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,0,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,0,0.03,0.07663316582914573,0,0.02666666666666667,0.1620603015075377,0,0.0,0.0,0,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.023333333333333334,0.0414572864321608,0,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,0,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,0,0.03,0.07663316582914573,0,0.02666666666666667,0.1620603015075377,0,0.0,0.0,0,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.023333333333333334,0.0414572864321608,0,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,3,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,0,0.03,0.07663316582914573,0,0.02666666666666667,0.1620603015075377,0,0.0,0.0,0,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.023333333333333334,0.0414572864321608,0,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,0,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,0,0.03,0.07663316582914573,0,0.02666666666666667,0.1620603015075377,0,0.0,0.0,0,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.023333333333333334,0.0414572864321608,0,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,0,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,0,0.03,0.07663316582914573,0,0.02666666666666667,0.1620603015075377,0,0.0,0.0,0,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.023333333333333334,0.0414572864321608,0,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,0,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,0,0.03,0.07663316582914573,0,0.02666666666666667,0.1620603015075377,0,0.0,0.0,9,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.023333333333333334,0.0414572864321608,0,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,0,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,0,0.03,0.07663316582914573,0,0.02666666666666667,0.1620603015075377,0,0.0,0.0,0,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.023333333333333334,0.0414572864321608,0,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,0,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,0,0.03,0.07663316582914573,0,0.02666666666666667,0.1620603015075377,0,0.0,0.0,0,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.023333333333333334,0.0414572864321608,0,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,0,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,0,0.03,0.07663316582914573,0,0.02666666666666667,0.1620603015075377,0,0.0,0.0,0,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.023333333333333334,0.0414572864321608,0,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,0,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,0,0.03,0.07663316582914573,0,0.02666666666666667,0.1620603015075377,0,0.0,0.0,0,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.023333333333333334,0.0414572864321608,0,0.056666666666666664,0.05150753768844221,0,0.0,0.0,0,0.0033333333333333335,0.002512562814070352,0,0.0,0.0,0,0.006666666666666667,0.00628140703517588,0,0.08333333333333333,0.2022613065326633,0,0.02,0.018844221105527637,0,0.0,0.0,0,0.01,0.008793969849246231,0,0.03333333333333333,0.19974874371859297,0,0.0,0.0,0,0.0,0.0,0,0.01,0.028894472361809045,0,0.02,0.12311557788944724,0,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,0.02386934673366834,0,0.03,0.07663316582914573,0,0.02666666666666667,0.1620603015075377,0,0.0,0.0,0,0.02,0.05402010050251256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
